S1,S2,S3,S4,S5,S6
3,6,4,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
5,6,3,1,4,2
4,6,3,1,5,2
4,6,3,1,5,2
5,6,3,1,4,2
5,6,3,1,4,2
3,6,4,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
5,6,3,1,4,2
3,6,4,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
5,6,3,1,4,2
5,6,3,1,4,2
4,6,3,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
5,6,3,1,4,2
3,6,4,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
5,6,3,1,4,2
4,6,3,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
5,6,3,1,4,2
5,6,3,1,4,2
3,6,4,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
5,6,3,1,4,2
4,6,3,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
5,6,3,1,4,2
5,6,3,1,4,2
4,6,3,1,5,2
3,6,4,1,5,2
5,6,3,1,4,2
4,6,3,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
5,6,3,1,4,2
3,6,4,1,5,2
5,6,3,1,4,2
4,6,3,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
5,6,3,1,4,2
4,6,3,1,5,2
4,6,3,1,5,2
5,6,3,1,4,2
5,6,3,1,4,2
4,6,3,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
5,6,3,1,4,2
3,6,4,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
5,6,3,1,4,2
4,6,3,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
5,6,3,1,4,2
4,6,3,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
5,6,3,1,4,2
3,6,4,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
5,6,3,1,4,2
5,6,3,1,4,2
4,6,3,1,5,2
4,6,3,1,5,2
5,6,3,1,4,2
3,6,4,1,5,2
5,6,3,1,4,2
3,6,4,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
5,6,3,1,4,2
5,6,3,1,4,2
4,6,3,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
5,6,3,1,4,2
3,6,4,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
5,6,3,1,4,2
4,6,3,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
5,6,3,1,4,2
3,6,4,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
5,6,3,1,4,2
4,6,3,1,5,2
3,6,4,1,5,2
5,6,3,1,4,2
4,6,3,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
5,6,3,1,4,2
4,6,3,1,5,2
3,6,4,1,5,2
5,6,3,1,4,2
3,6,4,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
5,6,3,1,4,2
3,6,4,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
5,6,3,1,4,2
4,6,3,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
5,6,3,1,4,2
3,6,4,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
5,6,3,1,4,2
3,6,4,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
5,6,3,1,4,2
3,6,4,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
5,6,3,1,4,2
4,6,3,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
5,6,3,1,4,2
4,6,3,1,5,2
5,6,3,1,4,2
3,6,4,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
5,6,3,1,4,2
3,6,4,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
5,6,3,1,4,2
3,6,4,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
5,6,3,1,4,2
4,6,3,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
5,6,3,1,4,2
4,6,3,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
5,6,3,1,4,2
3,6,4,1,5,2
5,6,3,1,4,2
4,6,3,1,5,2
4,6,3,1,5,2
5,6,3,1,4,2
3,6,4,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
5,6,3,1,4,2
4,6,3,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
5,6,3,1,4,2
4,6,3,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
5,6,3,1,4,2
5,6,3,1,4,2
4,6,3,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
5,6,3,1,4,2
5,6,3,1,4,2
4,6,3,1,5,2
3,6,4,1,5,2
5,6,3,1,4,2
4,6,3,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
5,6,3,1,4,2
3,6,4,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
5,6,3,1,4,2
4,6,3,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
5,6,3,1,4,2
5,6,3,1,4,2
5,6,3,1,4,2
3,6,4,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
5,6,3,1,4,2
4,6,3,1,5,2
3,6,4,1,5,2
5,6,3,1,4,2
4,6,3,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
5,6,3,1,4,2
3,6,4,1,5,2
3,6,4,1,5,2
5,6,3,1,4,2
3,6,4,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
5,6,3,1,4,2
4,6,3,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
5,6,3,1,4,2
3,6,4,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
5,6,3,1,4,2
4,6,3,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
5,6,3,1,4,2
4,6,3,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
5,6,3,1,4,2
3,6,4,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
5,6,3,1,4,2
3,6,4,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
5,6,3,1,4,2
5,6,3,1,4,2
3,6,4,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
5,6,3,1,4,2
4,6,3,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
5,6,3,1,4,2
4,6,3,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
5,6,3,1,4,2
3,6,4,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
5,6,3,1,4,2
4,6,3,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
5,6,3,1,4,2
5,6,3,1,4,2
4,6,3,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
5,6,3,1,4,2
4,6,3,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
5,6,3,1,4,2
3,6,4,1,5,2
3,6,4,1,5,2
5,6,3,1,4,2
3,6,4,1,5,2
3,6,4,1,5,2
5,6,3,1,4,2
4,6,3,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
5,6,3,1,4,2
3,6,4,1,5,2
3,6,4,1,5,2
5,6,3,1,4,2
4,6,3,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
5,6,3,1,4,2
3,6,4,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
5,6,3,1,4,2
4,6,3,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
5,6,3,1,4,2
3,6,4,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
5,6,3,1,4,2
4,6,3,1,5,2
5,6,3,1,4,2
5,6,3,1,4,2
3,6,4,1,5,2
5,6,3,1,4,2
4,6,3,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
5,6,3,1,4,2
4,6,3,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
5,6,3,1,4,2
4,6,3,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
5,6,3,1,4,2
3,6,4,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
5,6,3,1,4,2
4,6,3,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
5,6,3,1,4,2
3,6,4,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
5,6,3,1,4,2
4,6,3,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
5,6,3,1,4,2
4,6,3,1,5,2
3,6,4,1,5,2
5,6,3,1,4,2
4,6,3,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
5,6,3,1,4,2
4,6,3,1,5,2
4,6,3,1,5,2
5,6,3,1,4,2
3,6,4,1,5,2
4,6,3,1,5,2
5,6,3,1,4,2
4,6,3,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
5,6,3,1,4,2
3,6,4,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
5,6,3,1,4,2
4,6,3,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
5,6,3,1,4,2
5,6,3,1,4,2
4,6,3,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
5,6,3,1,4,2
3,6,4,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
5,6,3,1,4,2
4,6,3,1,5,2
3,6,4,1,5,2
5,6,3,1,4,2
4,6,3,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
5,6,3,1,4,2
3,6,4,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
5,6,3,1,4,2
4,6,3,1,5,2
5,6,3,1,4,2
4,6,3,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
5,6,3,1,4,2
5,6,3,1,4,2
5,6,3,1,4,2
3,6,4,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
5,6,3,1,4,2
4,6,3,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
5,6,3,1,4,2
4,6,3,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
5,6,3,1,4,2
3,6,4,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
5,6,3,1,4,2
4,6,3,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
5,6,3,1,4,2
4,6,3,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
5,6,3,1,4,2
4,6,3,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
5,6,3,1,4,2
3,6,4,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
5,6,3,1,4,2
3,6,4,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
5,6,3,1,4,2
3,6,4,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
5,6,3,1,4,2
3,6,4,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
5,6,3,1,4,2
5,6,3,1,4,2
4,6,3,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
5,6,3,1,4,2
5,6,3,1,4,2
5,6,3,1,4,2
4,6,3,1,5,2
5,6,3,1,4,2
3,6,4,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
5,6,3,1,4,2
5,6,3,1,4,2
4,6,3,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
5,6,3,1,4,2
4,6,3,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
5,6,3,1,4,2
4,6,3,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
3,6,4,1,5,2
4,6,3,1,5,2
5,6,3,1,4,2
5,6,3,1,4,2
3,6,4,1,5,2
5,6,3,1,4,2
4,6,3,1,5,2
